from,to,percent,number,absvalue,lat,lng,source,target
天门市,襄阳市,1.12,3225.42,36.12470400000001,30.663299439124792,113.1660004274518,14,13
天门市,咸宁市,1.01,3225.42,32.576741999999996,30.663299439124792,113.1660004274518,14,0
天门市,十堰市,0.91,3225.42,29.351322,30.663299439124792,113.1660004274518,14,11
天门市,随州市,0.9,3225.42,29.02878,30.663299439124792,113.1660004274518,14,1
天门市,恩施土家族苗族自治州,0.76,3225.42,24.513192,30.663299439124792,113.1660004274518,14,10
天门市,黄石市,0.48,3225.42,15.482015999999998,30.663299439124792,113.1660004274518,14,3
天门市,鄂州市,0.25,3225.42,8.06355,30.663299439124792,113.1660004274518,14,8
仙桃市,武汉市,23.42,4111.56,962.9273520000002,30.327808562443895,113.4430708646698,2,15
仙桃市,荆州市,19.91,4111.56,818.6115960000002,30.327808562443895,113.4430708646698,2,9
仙桃市,天门市,15.83,4111.56,650.859948,30.327808562443895,113.4430708646698,2,14
仙桃市,潜江市,9.81,4111.56,403.3440360000001,30.327808562443895,113.4430708646698,2,6
仙桃市,孝感市,8.01,4111.56,329.335956,30.327808562443895,113.4430708646698,2,7
仙桃市,荆门市,2.05,4111.56,84.28698,30.327808562443895,113.4430708646698,2,5
仙桃市,宜昌市,1.71,4111.56,70.307676,30.327808562443895,113.4430708646698,2,16
仙桃市,黄冈市,1.24,4111.56,50.98334400000001,30.327808562443895,113.4430708646698,2,12
仙桃市,咸宁市,1.15,4111.56,47.282939999999996,30.327808562443895,113.4430708646698,2,0
仙桃市,襄阳市,1.04,4111.56,42.76022400000001,30.327808562443895,113.4430708646698,2,13
仙桃市,恩施土家族苗族自治州,0.83,4111.56,34.125948,30.327808562443895,113.4430708646698,2,10
仙桃市,十堰市,0.64,4111.56,26.313984000000005,30.327808562443895,113.4430708646698,2,11
仙桃市,随州市,0.6,4111.56,24.66936,30.327808562443895,113.4430708646698,2,1
仙桃市,黄石市,0.53,4111.56,21.791268000000006,30.327808562443895,113.4430708646698,2,3
仙桃市,鄂州市,0.4,4111.56,16.446240000000003,30.327808562443895,113.4430708646698,2,8
潜江市,荆州市,31.3,2838.5640000000003,888.470532,30.40220042749318,112.89899997927145,6,9
潜江市,仙桃市,15.36,2838.5640000000003,436.0034304,30.40220042749318,112.89899997927145,6,2
潜江市,武汉市,11.88,2838.5640000000003,337.22140320000005,30.40220042749318,112.89899997927145,6,15
潜江市,荆门市,8.29,2838.5640000000003,235.3169556,30.40220042749318,112.89899997927145,6,5
潜江市,天门市,7.76,2838.5640000000003,220.27256640000004,30.40220042749318,112.89899997927145,6,14
潜江市,宜昌市,2.48,2838.5640000000003,70.3963872,30.40220042749318,112.89899997927145,6,16
潜江市,孝感市,1.96,2838.5640000000003,55.63585440000001,30.40220042749318,112.89899997927145,6,7
潜江市,襄阳市,1.22,2838.5640000000003,34.63048080000001,30.40220042749318,112.89899997927145,6,13
潜江市,恩施土家族苗族自治州,1.16,2838.5640000000003,32.9273424,30.40220042749318,112.89899997927145,6,10
潜江市,黄冈市,1.15,2838.5640000000003,32.643486,30.40220042749318,112.89899997927145,6,12
潜江市,十堰市,0.77,2838.5640000000003,21.856942800000002,30.40220042749318,112.89899997927145,6,11
潜江市,咸宁市,0.58,2838.5640000000003,16.4636712,30.40220042749318,112.89899997927145,6,0
潜江市,随州市,0.44,2838.5640000000003,12.4896816,30.40220042749318,112.89899997927145,6,1
